cluster1,cluster2,stage,n1,n2,mean1,mean2,stat,pval,padj,sig
0,1,twocell,6031,5667,0.7118239097993699,0.38825304393859184,19601847.0,1.4470331133179215e-81,6.201570485648235e-81,True
0,1,fourcell,6031,5667,0.465703863372575,0.2654790894653256,19250858.5,1.5339041506666627e-74,5.752140564999985e-74,True
0,1,eightcell,6031,5667,0.576136627424971,0.5516110817010765,19588443.5,3.3239419845853787e-94,1.6619709922926893e-93,True
0,1,morula,6031,5667,0.208091527109932,0.09181048173636844,19086568.5,6.027970496544111e-76,2.4111881986176444e-75,True
0,1,pronuc,6031,5667,0.12962526944122035,0.03691724016234339,17304998.0,3.371073577923738e-07,5.056610366885607e-07,True
0,1,oocyte,6031,5667,0.11387415022384349,0.08267160755249692,17220975.0,1.72579624814556e-06,2.4654232116365145e-06,True
0,2,twocell,6031,2768,0.7118239097993699,0.20226156069364162,10220917.5,1.208077526691872e-121,8.053850177945813e-121,True
0,2,fourcell,6031,2768,0.465703863372575,0.3422290462427746,9922612.5,4.296680681472478e-106,2.343644008075897e-105,True
0,2,eightcell,6031,2768,0.576136627424971,0.24334537572254333,10147790.5,1.4597375902529355e-130,1.2512036487882304e-129,True
0,2,morula,6031,2768,0.208091527109932,0.021622109826589596,9638217.5,3.285497291454843e-82,1.5163833652868505e-81,True
0,2,pronuc,6031,2768,0.12962526944122035,0.01731936416184971,8504971.0,8.511552482745863e-10,1.547554996862884e-09,True
0,2,oocyte,6031,2768,0.11387415022384349,0.018605491329479768,8409237.5,0.0006109297543621026,0.0008145730058161368,True
0,3,twocell,6031,2790,0.7118239097993699,0.1827383512544803,10622108.5,4.149914958025347e-176,8.299829916050694e-175,True
0,3,fourcell,6031,2790,0.465703863372575,0.3515949820788531,10114043.0,1.8522858842449675e-125,1.3892144131837256e-124,True
0,3,eightcell,6031,2790,0.576136627424971,0.23465949820788531,10402324.0,1.406678743544627e-162,1.6880144922535523e-161,True
0,3,morula,6031,2790,0.208091527109932,0.04021146953405017,9886174.0,4.0981070427404134e-110,2.458864225644248e-109,True
0,3,pronuc,6031,2790,0.12962526944122035,0.0012544802867383513,8606239.5,1.135296033750419e-14,2.270592067500838e-14,True
0,3,oocyte,6031,2790,0.11387415022384349,0.0004372759856630825,8503513.0,1.5714904138159217e-07,2.481300653393561e-07,True
0,4,twocell,6031,4671,0.7118239097993699,0.03676086491115393,17601139.0,1.041465561062551e-241,6.248793366375307e-240,True
0,4,fourcell,6031,4671,0.465703863372575,0.031340184114750584,16777937.0,5.1841278832861755e-171,7.776191824929263e-170,True
0,4,eightcell,6031,4671,0.576136627424971,0.01581674159708842,17185231.5,5.242813143329969e-215,1.5728439429989908e-213,True
0,4,morula,6031,4671,0.208091527109932,0.014491543566688074,16431409.0,8.926673542817084e-154,8.926673542817084e-153,True
0,4,pronuc,6031,4671,0.12962526944122035,0.004709912224363092,14392386.5,2.4204027850116926e-20,5.186577396453627e-20,True
0,4,oocyte,6031,4671,0.11387415022384349,0.002569043031470777,14231488.0,1.3529791694860799e-10,2.5368359427863997e-10,True
1,2,twocell,5667,2768,0.38825304393859184,0.20226156069364162,8435106.0,6.086075001666986e-24,1.4044788465385353e-23,True
1,2,fourcell,5667,2768,0.2654790894653256,0.3422290462427746,8335532.0,5.118558513952605e-23,1.1374574475450234e-22,True
1,2,eightcell,5667,2768,0.5516110817010765,0.24334537572254333,8388992.5,1.1372335150610819e-28,2.7293604361465965e-28,True
1,2,morula,5667,2768,0.09181048173636844,0.021622109826589596,8141801.5,1.4158208314377912e-11,2.7402983834279826e-11,True
1,2,pronuc,5667,2768,0.03691724016234339,0.01731936416184971,7893155.5,0.005059560128258819,0.006324450160323523,True
1,2,oocyte,5667,2768,0.08267160755249692,0.018605491329479768,7841038.0,0.8517636534067576,0.8517636534067576,False
1,3,twocell,5667,2790,0.38825304393859184,0.1827383512544803,8841275.0,3.25781409718415e-64,1.0859380323947168e-63,True
1,3,fourcell,5667,2790,0.2654790894653256,0.3515949820788531,8523347.0,3.2999129327685766e-37,8.999762543914301e-37,True
1,3,eightcell,5667,2790,0.5516110817010765,0.23465949820788531,8626192.0,1.2324589226424599e-52,3.891975545186715e-52,True
1,3,morula,5667,2790,0.09181048173636844,0.04021146953405017,8379921.5,9.156020663071335e-30,2.2890051657678338e-29,True
1,3,pronuc,5667,2790,0.03691724016234339,0.0012544802867383513,7987532.0,8.69306579750682e-07,1.2721559703668517e-06,True
1,3,oocyte,5667,2790,0.08267160755249692,0.0004372759856630825,7929108.0,0.013034547320314152,0.014482830355904613,True
1,4,twocell,5667,4671,0.38825304393859184,0.03676086491115393,14591067.0,1.8361369310005583e-69,6.480483285884324e-69,True
1,4,fourcell,5667,4671,0.2654790894653256,0.031340184114750584,14109549.5,3.791790472478814e-38,1.0833687064225183e-37,True
1,4,eightcell,5667,4671,0.5516110817010765,0.01581674159708842,14206540.5,1.5392090900287806e-48,4.617627270086342e-48,True
1,4,morula,5667,4671,0.09181048173636844,0.014491543566688074,13908618.0,7.060072703989919e-31,1.841758096693022e-30,True
1,4,pronuc,5667,4671,0.03691724016234339,0.004709912224363092,13357533.0,8.001876154396984e-08,1.3336460257328308e-07,True
1,4,oocyte,5667,4671,0.08267160755249692,0.002569043031470777,13270163.0,0.007752893534236508,0.00930347224108381,True
2,3,twocell,2768,2790,0.20226156069364162,0.1827383512544803,4040802.5,5.755440920317421e-17,1.1907808800656733e-16,True
2,3,fourcell,2768,2790,0.3422290462427746,0.3515949820788531,3924514.5,0.00046528298705606603,0.0006344768005309992,True
2,3,eightcell,2768,2790,0.24334537572254333,0.23465949820788531,3946482.5,1.379031255660308e-08,2.4335845688123082e-08,True
2,3,morula,2768,2790,0.021622109826589596,0.04021146953405017,3947506.0,2.0072924912033646e-07,3.0881422941590224e-07,True
2,3,pronuc,2768,2790,0.01731936416184971,0.0012544802867383513,3876757.5,0.01088747391945013,0.012562469907057842,True
2,3,oocyte,2768,2790,0.018605491329479768,0.0004372759856630825,3873944.0,0.011921689833068102,0.013496252641209173,True
2,4,twocell,2768,4671,0.20226156069364162,0.03676086491115393,6648587.0,6.489754226948207e-08,1.1125292960482641e-07,True
2,4,fourcell,2768,4671,0.3422290462427746,0.031340184114750584,6488788.5,0.41141392928560827,0.42560061650235337,False
2,4,eightcell,2768,4671,0.24334537572254333,0.01581674159708842,6487490.0,0.39119523602521034,0.41178445897390564,False
2,4,morula,2768,4671,0.021622109826589596,0.014491543566688074,6548818.5,0.0012952717362596058,0.0016894848733820943,True
2,4,pronuc,2768,4671,0.01731936416184971,0.004709912224363092,6483097.5,0.04808850489910777,0.05246018716266303,False
2,4,oocyte,2768,4671,0.018605491329479768,0.002569043031470777,6483434.0,0.00898566361198786,0.010571368955279836,True
3,4,twocell,2790,4671,0.1827383512544803,0.03676086491115393,6396597.5,1.791200005666226e-05,2.499348845115664e-05,True
3,4,fourcell,2790,4671,0.3515949820788531,0.031340184114750584,6434359.0,0.002494003408348264,0.0031838341383169325,True
3,4,eightcell,2790,4671,0.23465949820788531,0.01581674159708842,6394749.0,1.2263383927581188e-07,1.9886568531212738e-07,True
3,4,morula,2790,4671,0.04021146953405017,0.014491543566688074,6455666.5,0.006804928024852121,0.008332564928390353,True
3,4,pronuc,2790,4671,0.0012544802867383513,0.004709912224363092,6508642.0,0.30474593389779936,0.326513500604785,False
3,4,oocyte,2790,4671,0.0004372759856630825,0.002569043031470777,6513738.0,0.6289733778418996,0.6396339435680335,False
