true_cluster,nearest_consensus,correct,div_own,div_nearest_other,div_to_0,div_to_1,div_to_2,div_to_3,div_to_4
0,0,True,0.008210089895234503,0.0320278736641843,0.008210089895234503,0.0320278736641843,,,
0,4,False,0.08765829104125264,0.08414068191105567,0.08765829104125264,0.39207946335845445,0.10129844658975834,0.09463274281431223,0.08414068191105567
0,4,False,0.0723399553694707,0.052435214976200406,0.0723399553694707,0.2285483366432008,0.0659913864586162,0.07199665970661548,0.052435214976200406
0,0,True,0.013718488922554183,0.051314621971226874,0.013718488922554183,0.051314621971226874,,,
0,0,True,0.27338352938201205,0.3427335335035241,0.27338352938201205,0.3427335335035241,,,0.9738654978962666
0,0,True,0.2735202936768836,0.32489208647804585,0.2735202936768836,0.32489208647804585,,,
0,4,False,0.037772496911728515,0.025809623649073007,0.037772496911728515,0.10354919777168589,0.03726709829458479,0.05134321616066443,0.025809623649073007
0,0,True,0.01017381112320976,0.05678829110339594,0.01017381112320976,0.05678829110339594,,,
0,0,True,0.020039322014722024,0.030743211236969513,0.020039322014722024,0.21609544544602227,0.0479156025637759,0.05325712703581253,0.030743211236969513
0,0,True,0.024565985299261427,0.030743211236969513,0.024565985299261427,0.3121610812385556,0.0489166038991124,0.05325712703581253,0.030743211236969513
0,0,True,0.013457108741794899,0.02162924081502498,0.013457108741794899,0.21716916603554332,0.03701941304734559,0.04665319142742953,0.02162924081502498
0,0,True,0.017592093696052778,0.023707792436262143,0.017592093696052778,0.1976684604693432,0.039070340768308946,0.04255378257316336,0.023707792436262143
0,0,True,0.015065093973156347,0.028721353419765634,0.015065093973156347,0.09078397741176879,0.04593754052940322,0.0510947978842614,0.028721353419765634
0,4,False,0.09159619060156195,0.031782587471957544,0.09159619060156195,0.29754330813285296,0.04893754952945181,0.053285381892042856,0.031782587471957544
0,0,True,0.026228642518865516,0.03789920609118088,0.026228642518865516,0.16175339891940316,0.04597589970877598,0.054390197664609986,0.03789920609118088
0,0,True,0.03534807958926629,0.04114928799167172,0.03534807958926629,0.1833968387825604,0.05718410943346212,0.06676012077351208,0.04114928799167172
0,4,False,0.036136493688002,0.031114784682012266,0.036136493688002,0.09316312218840492,0.047458680292712246,0.056471978237637666,0.031114784682012266
0,3,False,0.03548339736413034,0.01833801066251025,0.03548339736413034,0.2184271403965124,0.07326587533298373,0.01833801066251025,0.046135436150171884
0,0,True,0.016014304860732232,0.03574294364452876,0.016014304860732232,0.08529560479522018,0.05777633832770233,0.05525753867326339,0.03574294364452876
0,0,True,0.02671736576414977,0.028807267063730123,0.02671736576414977,0.150224059468031,0.04116455360368814,0.05125847230409877,0.028807267063730123
0,3,False,0.077638216026149,0.03376029259739233,0.077638216026149,0.1094818678567496,0.07013416496842681,0.03376029259739233,0.04817905918985786
0,0,True,0.011784497856086254,0.03581408077320738,0.011784497856086254,0.07772853746003724,0.05687370006603788,0.04995543751789006,0.03581408077320738
0,0,True,0.029609555468849025,0.0379116142511374,0.029609555468849025,0.32063228254940657,0.05091322787139229,0.0565579926911937,0.0379116142511374
0,4,False,0.07837269415314475,0.03496119090102859,0.07837269415314475,0.11283496086451239,0.056077728522574186,0.055631418744323584,0.03496119090102859
0,0,True,0.010688340244363173,0.038269056288169,0.010688340244363173,0.038269056288169,,,
0,0,True,0.016983881914451566,0.02979614794414317,0.016983881914451566,0.19819171098229532,0.04895991918575394,0.04143205590717232,0.02979614794414317
0,0,True,0.013991962500143215,0.035871461320564076,0.013991962500143215,0.07986892597996453,0.05694368585771524,0.04893892422556701,0.035871461320564076
0,4,False,0.038281113040829665,0.034203404731808766,0.038281113040829665,0.38885205607144313,0.04244688923097772,0.048509674531471134,0.034203404731808766
0,3,False,0.07676059997234763,0.008075533951745342,0.07676059997234763,0.11014001710508589,0.07220264645789476,0.008075533951745342,0.048171809410838214
0,0,True,0.2753760218922944,0.32504869726789665,0.2753760218922944,0.32504869726789665,,,
0,3,False,0.04893011071870858,0.023564806851779096,0.04893011071870858,0.08279063662721195,0.06918485374520107,0.023564806851779096,0.04516999578187089
0,3,False,0.038195633217135025,0.011130533272534628,0.038195633217135025,0.22426639044106306,0.0753374529646925,0.011130533272534628,0.05132639400747058
0,0,True,0.02001284888811931,0.03280717799442533,0.02001284888811931,0.15364190163763894,0.04994156593107461,0.05548560546445375,0.03280717799442533
0,0,True,0.037246500223707804,0.0441044261397328,0.037246500223707804,0.1732287297578271,0.06202099082268184,0.0698507028224123,0.0441044261397328
0,0,True,0.012245742421405694,0.031764662051869653,0.012245742421405694,0.09729651541003478,0.0489166038991124,0.05435482231753031,0.031764662051869653
