true_cluster,div_to_0,div_to_1,div_to_2,div_to_3,div_to_4
0,0.043695999493969497,0.14650867804988651,0.0711867293827584,0.05223634542848787,0.07345462741873156
1,0.06864098329402854,0.14962682080655743,0.20397196387146888,0.14772581455806727,0.17330895294872303
2,0.026313034015768993,0.3868112605337676,0.03151878706407702,0.05010631820150791,0.02880662481415037
3,0.09069282291182855,0.10255311943084218,0.10065172733303879,0.050175987707778084,0.09676958560108478
4,0.039461743824696055,0.2508486821644242,0.04391444908819136,0.04977013349907795,0.042118166661582614
