cluster1,cluster2,stage,n1,n2,mean1,mean2,stat,pval,padj,sig
0,1,twocell,5348,5571,0.29683059087509345,0.04556094058517322,16374693.5,4.0350121783830516e-80,2.421007307029831e-79,True
0,1,fourcell,5348,5571,0.38164173522812267,0.03129061209836654,15856273.5,1.0609714807490403e-53,1.7045733735122799e-53,True
0,1,eightcell,5348,5571,0.47450822737471954,0.014884221863220248,15837439.5,1.1363822490081865e-53,1.7045733735122799e-53,True
0,1,morula,5348,5571,0.06548055347793569,0.025221683719260455,15868844.0,1.987894219046013e-61,5.963682657138039e-61,True
0,1,pronuc,5348,5571,0.014962602842183991,0.0009872554299048646,15033748.5,2.72254834009471e-11,3.267058008113652e-11,True
0,1,oocyte,5348,5571,0.017576664173522813,0.00021899120445162453,14938871.5,0.0004079683529189628,0.0004079683529189628,True
